input_small_gen.txt,missing_one
12308,11537
12308,11535
12308,11444
12308,11419
input_medium_gen_reduced.txt,half
12308,9174
12308,9168
12308,9234
12308,9252
12308,9332
12308,9292
12308,9227
12308,9210
12308,9249
12308,9161
input_medium_gen_reduced.txt,most
12308,5525
12308,5553
12308,5530
12308,5456
12308,5621
12308,5582
12308,5528
12308,5596
12308,5566
12308,5508
input_medium_gen_reduced.txt,random_10
12308,13729
12308,13674
12308,13910
12308,13733
12308,13670
12308,13649
12308,13712
12308,13928
12308,13562
12308,13713
input_medium_gen_reduced.txt,random_25
12308,15342
12308,15265
12308,15308
12308,15310
12308,15388
12308,15382
12308,15427
12308,15463
12308,15548
12308,15280
input_medium_gen_reduced.txt,random_50
12308,12655
12308,12629
12308,12713
12308,12697
12308,12644
12308,12665
12308,12549
12308,12557
12308,12664
12308,12545
input_medium_gen_reduced.txt,random_75
12308,7841
12308,7784
12308,7693
12308,7706
12308,7777
12308,7834
12308,7692
12308,7820
12308,7796
12308,7701
input_medium_gen_reduced.txt,random_90
12308,5724
12308,5783
12308,5741
12308,5803
12308,5754
12308,5770
12308,5680
12308,5806
12308,5787
12308,5702
input_large_gen.txt,missing_one
304728,8051
304728,8101
304728,8081
304728,8132
304728,8093
304728,8096
304728,8166
304728,8047
304728,8052
304728,8111
input_large_gen.txt,has_one
304728,306755
304728,307200
304728,306528
304728,307023
304728,306852
304728,306700
304728,306735
304728,306761
304728,306467
304728,306657
input_large_gen.txt,some
304728,287554
304728,287822
304728,287804
304728,287702
304728,287710
304728,288057
304728,287370
304728,287801
304728,287579
304728,287587
input_large_gen.txt,half
304728,229408
304728,229536
304728,229708
304728,229633
304728,229822
304728,229588
304728,229554
304728,229309
304728,229497
304728,229117
input_large_gen.txt,most
304728,132105
304728,132068
304728,132307
304728,132470
304728,132396
304728,132367
304728,132428
304728,132253
304728,132339
304728,132389
input_large_gen.txt,random_10
304728,334015
304728,333703
304728,333735
304728,333894
304728,333963
304728,333840
304728,334060
304728,333717
304728,334057
304728,333501
input_large_gen.txt,random_25
304728,330247
304728,330419
304728,330552
304728,330557
304728,330288
304728,330266
